duration liters month hour day max_flow fixture num_fixture av_flow_rate sec_from_midnight
1290 30479 10 8 1 27 bidet 1 23.6271317829457 23339
261 9502 3 18 6 51 bidet 1 36.4061302681992 62624
183 8869 10 0 4 67 bidet 1 48.4644808743169 80073
103 8126 8 18 3 90 bidet 1 78.8932038834952 60721
140 7796 4 2 5 148 bidet 1 55.6857142857143 2342
144 7466 7 21 4 56 bidet 1 51.8472222222222 70910
166 6982 10 22 2 54 bidet 1 42.0602409638554 72498
167 6287 3 22 4 42 bidet 1 37.6467065868263 78186
108 6252 7 0 3 67 bidet 1 57.8888888888889 80063
76 5153 2 8 1 72 bidet 1 67.8026315789474 25959
42 4744 7 8 5 121 bidet 1 112.952380952381 21736
101 4731 3 14 4 56 bidet 1 46.8415841584158 49778
89 4661 9 10 0 85 bidet 1 52.3707865168539 31698
79 4540 6 15 6 63 bidet 1 57.4683544303798 49400
86 4444 7 0 3 92 bidet 1 51.6744186046512 80177
81 4162 2 8 1 60 bidet 1 51.3827160493827 26475
74 4064 3 22 4 58 bidet 1 54.9189189189189 78702
60 4053 6 18 1 72 bidet 1 67.55 60677
81 3736 3 8 2 49 bidet 1 46.1234567901235 26193
71 3665 10 22 2 69 bidet 1 51.6197183098592 72767
75 3661 9 18 6 56 bidet 1 48.8133333333333 60743
55 3391 10 21 0 67 bidet 1 61.6545454545455 74632
27 3301 5 9 0 132 bidet 1 122.259259259259 26110
74 3244 10 0 4 56 bidet 1 43.8378378378378 80760
53 3146 7 10 6 63 bidet 1 59.3584905660377 29558
69 3039 6 22 0 47 bidet 1 44.0434782608696 73274
54 2976 5 18 1 58 bidet 1 55.1111111111111 60666
47 2925 6 10 6 74 bidet 1 62.2340425531915 30605
44 2888 9 11 5 67 bidet 1 65.6363636363636 35252
39 2877 4 9 5 81 bidet 1 73.7692307692308 28691
78 2866 6 9 2 54 bidet 1 36.7435897435897 26694
40 2829 5 10 5 74 bidet 1 70.725 30111
48 2806 5 8 3 60 bidet 1 58.4583333333333 21937
45 2789 2 9 6 67 bidet 1 61.9777777777778 30312
65 2745 5 22 0 47 bidet 1 42.2307692307692 73850
48 2728 2 17 4 69 bidet 1 56.8333333333333 60264
34 2693 5 1 3 83 bidet 1 79.2058823529412 85086
47 2650 2 8 3 60 bidet 1 56.3829787234043 28448
47 2618 2 22 3 60 bidet 1 55.7021276595745 79157
35 2608 6 8 3 78 bidet 1 74.5142857142857 24056
38 2595 7 15 2 76 bidet 1 68.2894736842105 48461
39 2594 9 8 1 72 bidet 1 66.5128205128205 23942
38 2581 2 16 6 74 bidet 1 67.921052631579 54326
48 2579 2 16 1 56 bidet 1 53.7291666666667 54281
39 2572 10 7 3 69 bidet 1 65.9487179487179 21041
31 2553 10 7 1 85 bidet 1 82.3548387096774 20257
51 2516 9 18 1 51 bidet 1 49.3333333333333 60387
41 2514 2 8 0 63 bidet 1 61.3170731707317 26379
65 2470 4 17 5 40 bidet 1 38 54818
31 2460 6 8 4 90 bidet 1 79.3548387096774 23877
44 2454 4 8 4 58 bidet 1 55.7727272727273 24010
33 2429 3 18 6 76 bidet 1 73.6060606060606 63834
37 2423 10 16 6 69 bidet 1 65.4864864864865 51599
23 2400 9 15 2 110 bidet 1 104.347826086957 48347
38 2389 5 7 2 67 bidet 1 62.8684210526316 19410
46 2377 10 19 3 54 bidet 1 51.6739130434783 61279
49 2361 4 9 6 51 bidet 1 48.1836734693878 26551
45 2329 8 8 0 56 bidet 1 51.7555555555556 23488
47 2327 4 8 2 54 bidet 1 49.5106382978723 22467
63 2303 7 20 1 40 bidet 1 36.5555555555556 66392
23 2298 7 10 6 105 bidet 1 99.9130434782609 32361
30 2283 5 12 3 81 bidet 1 76.1 37257
47 2275 4 8 3 51 bidet 1 48.4042553191489 23887
40 2250 7 4 6 58 bidet 1 56.25 9922
23 2241 6 18 5 101 bidet 1 97.4347826086957 60043
42 2236 3 10 6 58 bidet 1 53.2380952380952 33856
46 2222 4 15 5 51 bidet 1 48.304347826087 48243
54 2215 5 8 4 45 bidet 1 41.0185185185185 23775
33 2191 5 10 6 69 bidet 1 66.3939393939394 28822
36 2182 6 7 1 65 bidet 1 60.6111111111111 20280
80 2168 3 16 5 29 bidet 1 27.1 55264
46 2150 7 11 5 49 bidet 1 46.7391304347826 33983
59 2135 6 4 6 38 bidet 1 36.1864406779661 9173
41 2129 10 0 4 67 bidet 1 51.9268292682927 80717
35 2109 10 20 5 63 bidet 1 60.2571428571429 66164
51 2103 10 9 1 45 bidet 1 41.2352941176471 27704
36 2103 10 0 1 63 bidet 1 58.4166666666667 82751
42 2067 10 8 0 54 bidet 1 49.2142857142857 26890
44 2065 6 18 6 51 bidet 1 46.9318181818182 60200
23 2060 10 18 5 92 bidet 1 89.5652173913043 58807
38 2048 6 17 6 58 bidet 1 53.8947368421053 55027
34 2040 4 9 1 63 bidet 1 60 27121
36 2037 4 8 2 58 bidet 1 56.5833333333333 22892
28 2027 10 7 2 78 bidet 1 72.3928571428571 20308
37 2025 9 1 5 56 bidet 1 54.7297297297297 83637
29 2010 5 10 2 72 bidet 1 69.3103448275862 31901
33 2007 7 19 6 65 bidet 1 60.8181818181818 61284
41 2005 3 13 4 56 bidet 1 48.9024390243903 45843
38 1994 3 7 4 54 bidet 1 52.4736842105263 24461
30 1981 10 7 4 69 bidet 1 66.0333333333333 21137
62 1979 6 20 6 33 bidet 1 31.9193548387097 66865
38 1967 5 9 5 56 bidet 1 51.7631578947368 27310
18 1966 7 21 6 135 bidet 1 109.222222222222 69985
24 1965 9 9 5 90 bidet 1 81.875 27039
37 1953 10 11 6 63 bidet 1 52.7837837837838 34300
40 1942 4 7 3 51 bidet 1 48.55 18916
42 1934 2 8 0 49 bidet 1 46.0476190476191 27031
33 1934 3 23 2 63 bidet 1 58.6060606060606 80761
30 1903 7 8 2 87 bidet 1 63.4333333333333 23304
35 1902 9 16 3 58 bidet 1 54.3428571428571 52958
45 1889 6 10 6 45 bidet 1 41.9777777777778 31192
62 1876 9 8 0 31 bidet 1 30.258064516129 22632
37 1872 6 11 1 65 bidet 1 50.5945945945946 35053
48 1868 4 10 5 42 bidet 1 38.9166666666667 29580
28 1867 10 14 3 94 bidet 1 66.6785714285714 44150
64 1864 9 2 2 31 bidet 1 29.125 3279
37 1863 3 17 0 56 bidet 1 50.3513513513514 59167
33 1862 9 10 5 60 bidet 1 56.4242424242424 31894
34 1858 9 8 3 56 bidet 1 54.6470588235294 22522
36 1850 7 8 0 54 bidet 1 51.3888888888889 23133
28 1830 8 10 0 81 bidet 1 65.3571428571429 29069
31 1829 7 1 0 60 bidet 1 59 86076
45 1829 8 12 4 45 bidet 1 40.6444444444445 39402
37 1826 4 10 4 51 bidet 1 49.3513513513514 30394
38 1821 9 8 1 51 bidet 1 47.921052631579 22162
32 1815 3 22 2 60 bidet 1 56.71875 78831
29 1810 9 9 1 67 bidet 1 62.4137931034483 26405
47 1786 10 12 6 40 bidet 1 38 43035
80 1777 9 12 5 24 bidet 1 22.2125 36984
23 1770 7 9 1 137 bidet 1 76.9565217391304 28716
32 1768 2 10 2 58 bidet 1 55.25 35140
27 1766 7 21 3 69 bidet 1 65.4074074074074 68404
26 1766 7 20 3 72 bidet 1 67.9230769230769 66812
48 1763 3 15 1 38 bidet 1 36.7291666666667 52476
31 1758 4 17 4 63 bidet 1 56.7096774193548 56305
49 1749 8 18 3 38 bidet 1 35.6938775510204 60907
35 1746 10 0 1 54 bidet 1 49.8857142857143 79566
34 1743 7 19 2 54 bidet 1 51.2647058823529 63490
26 1742 10 21 1 72 bidet 1 67 70700
28 1726 4 9 3 65 bidet 1 61.6428571428571 25649
39 1719 7 9 4 47 bidet 1 44.0769230769231 25620
28 1697 9 11 2 74 bidet 1 60.6071428571429 33393
35 1696 5 8 3 54 bidet 1 48.4571428571429 23163
29 1696 10 8 2 60 bidet 1 58.4827586206897 22159
44 1696 10 7 0 40 bidet 1 38.5454545454545 21087
21 1692 7 15 6 85 bidet 1 80.5714285714286 46985
34 1690 7 15 6 56 bidet 1 49.7058823529412 47521
58 1681 3 8 0 31 bidet 1 28.9827586206897 26076
36 1672 8 18 1 49 bidet 1 46.4444444444444 58905
31 1668 5 9 5 56 bidet 1 53.8064516129032 27908
38 1663 6 23 1 47 bidet 1 43.7631578947368 76602
21 1657 5 7 1 85 bidet 1 78.9047619047619 19639
22 1649 7 11 0 126 bidet 1 74.9545454545455 33252
41 1643 5 21 0 49 bidet 1 40.0731707317073 69068
27 1640 9 22 1 63 bidet 1 60.7407407407407 73367
25 1624 7 8 5 69 bidet 1 64.96 24569
29 1621 10 7 3 60 bidet 1 55.8965517241379 19969
24 1618 6 11 2 72 bidet 1 67.4166666666667 35213
26 1616 9 10 0 65 bidet 1 62.1538461538462 28822
21 1601 6 9 6 78 bidet 1 76.2380952380952 27702
33 1599 9 11 6 51 bidet 1 48.4545454545455 33212
44 1590 6 4 6 40 bidet 1 36.1363636363636 7926
19 1588 10 12 6 87 bidet 1 83.5789473684211 41684
32 1584 5 0 1 51 bidet 1 49.5 82346
34 1565 5 7 4 54 bidet 1 46.0294117647059 21303
33 1561 5 21 0 51 bidet 1 47.3030303030303 69706
25 1557 7 4 6 65 bidet 1 62.28 9791
30 1545 3 15 5 56 bidet 1 51.5 51218
30 1542 5 0 1 63 bidet 1 51.4 82087
44 1540 3 7 3 36 bidet 1 35 25075
32 1528 10 8 1 56 bidet 1 47.75 21986
38 1527 3 7 2 42 bidet 1 40.1842105263158 24969
33 1521 5 8 2 51 bidet 1 46.0909090909091 21609
31 1520 5 17 3 56 bidet 1 49.0322580645161 54780
47 1520 7 19 2 36 bidet 1 32.3404255319149 63774
31 1514 9 15 5 51 bidet 1 48.8387096774194 47451
37 1508 7 19 0 42 bidet 1 40.7567567567568 63450
19 1502 7 16 2 99 bidet 1 79.0526315789474 50510
31 1497 4 12 0 49 bidet 1 48.2903225806452 37596
44 1495 6 10 1 42 bidet 1 33.9772727272727 30804
23 1486 6 7 3 67 bidet 1 64.6086956521739 20760
38 1484 5 10 3 40 bidet 1 39.0526315789474 31035
30 1480 7 8 0 54 bidet 1 49.3333333333333 23050
56 1479 5 7 3 29 bidet 1 26.4107142857143 19212
40 1465 7 17 5 38 bidet 1 36.625 56222
26 1461 9 18 5 63 bidet 1 56.1923076923077 60303
22 1460 8 21 4 69 bidet 1 66.3636363636364 70674
26 1459 10 23 6 58 bidet 1 56.1153846153846 78528
28 1458 7 14 5 54 bidet 1 52.0714285714286 43262
20 1457 6 8 2 78 bidet 1 72.85 23907
19 1454 9 8 5 78 bidet 1 76.5263157894737 24349
23 1447 9 20 6 67 bidet 1 62.9130434782609 65214
31 1447 10 9 5 49 bidet 1 46.6774193548387 25478
47 1445 9 8 4 33 bidet 1 30.7446808510638 22110
40 1437 3 7 3 38 bidet 1 35.925 23556
28 1436 5 15 4 54 bidet 1 51.2857142857143 48359
34 1432 3 7 1 47 bidet 1 42.1176470588235 25139
26 1430 9 22 1 58 bidet 1 55 72283
25 1429 10 12 0 60 bidet 1 57.16 41397
31 1426 9 9 5 47 bidet 1 46 26152
23 1424 6 9 1 63 bidet 1 61.9130434782609 27282
57 1420 3 17 2 27 bidet 1 24.9122807017544 60987
30 1414 7 10 1 49 bidet 1 47.1333333333333 31132
25 1409 10 22 2 60 bidet 1 56.36 72159
44 1408 9 16 5 33 bidet 1 32 52483
22 1405 5 14 4 72 bidet 1 63.8636363636364 46184
33 1403 5 14 0 54 bidet 1 42.5151515151515 45102
30 1401 7 15 5 49 bidet 1 46.7 47592
21 1396 3 12 3 72 bidet 1 66.4761904761905 42721
23 1386 2 16 2 63 bidet 1 60.2608695652174 56898
33 1386 9 7 4 45 bidet 1 42 21510
21 1385 9 7 0 72 bidet 1 65.952380952381 21135
27 1370 6 12 2 54 bidet 1 50.7407407407407 37262
26 1370 10 10 5 56 bidet 1 52.6923076923077 31633
25 1365 7 21 2 69 bidet 1 54.6 68897
37 1362 7 8 2 40 bidet 1 36.8108108108108 23241
26 1361 10 8 5 56 bidet 1 52.3461538461538 22757
26 1360 10 8 1 56 bidet 1 52.3076923076923 24911
26 1360 10 17 1 54 bidet 1 52.3076923076923 56025
40 1354 9 22 6 69 bidet 1 33.85 74865
28 1350 10 8 4 51 bidet 1 48.2142857142857 22465
26 1349 9 18 6 54 bidet 1 51.8846153846154 59807
45 1348 3 18 3 69 bidet 1 29.9555555555556 63391
22 1347 4 13 6 67 bidet 1 61.2272727272727 41418
36 1346 6 22 4 38 bidet 1 37.3888888888889 72615
27 1346 10 8 5 51 bidet 1 49.8518518518519 22655
27 1337 9 19 4 54 bidet 1 49.5185185185185 64202
28 1333 9 11 3 51 bidet 1 47.6071428571429 35558
20 1326 10 9 1 72 bidet 1 66.3 26875
33 1325 9 9 2 42 bidet 1 40.1515151515152 26298
29 1312 4 10 5 47 bidet 1 45.2413793103448 29205
26 1302 10 7 4 54 bidet 1 50.0769230769231 19664
29 1293 7 10 0 47 bidet 1 44.5862068965517 32061
26 1290 7 14 1 51 bidet 1 49.6153846153846 46082
31 1284 6 8 0 45 bidet 1 41.4193548387097 23979
33 1283 4 8 1 42 bidet 1 38.8787878787879 22746
35 1270 9 5 2 38 bidet 1 36.2857142857143 14113
30 1260 10 10 0 45 bidet 1 42 30983
15 1260 10 17 6 90 bidet 1 84 54692
16 1259 6 10 1 85 bidet 1 78.6875 31035
25 1257 9 17 2 54 bidet 1 50.28 56413
18 1256 8 10 1 74 bidet 1 69.7777777777778 31628
20 1255 6 7 6 65 bidet 1 62.75 20335
34 1249 7 12 5 40 bidet 1 36.7352941176471 36903
29 1247 2 14 5 45 bidet 1 43 49282
26 1245 9 8 1 51 bidet 1 47.8846153846154 25051
29 1241 6 21 6 47 bidet 1 42.7931034482759 70090
36 1239 3 8 6 38 bidet 1 34.4166666666667 28283
25 1239 6 8 6 54 bidet 1 49.56 23642
26 1238 10 8 2 49 bidet 1 47.6153846153846 22292
33 1227 6 11 5 38 bidet 1 37.1818181818182 35779
23 1227 6 7 1 54 bidet 1 53.3478260869565 21500
40 1222 3 8 0 31 bidet 1 30.55 26094
47 1222 3 12 5 29 bidet 1 26 41597
21 1222 7 10 6 60 bidet 1 58.1904761904762 30323
46 1220 6 2 4 29 bidet 1 26.5217391304348 2845
27 1218 4 14 5 47 bidet 1 45.1111111111111 45222
31 1216 6 0 1 40 bidet 1 39.2258064516129 80319
26 1215 3 12 1 49 bidet 1 46.7307692307692 41727
44 1215 5 9 6 29 bidet 1 27.6136363636364 28744
26 1212 10 21 3 49 bidet 1 46.6153846153846 69636
23 1211 9 0 1 56 bidet 1 52.6521739130435 80225
39 1205 6 0 2 33 bidet 1 30.8974358974359 82525
27 1203 7 9 5 47 bidet 1 44.5555555555556 26218
20 1200 7 12 4 60 bidet 1 60 38825
32 1199 6 18 5 40 bidet 1 37.46875 60166
22 1197 9 7 4 56 bidet 1 54.4090909090909 21224
29 1188 9 22 4 42 bidet 1 40.9655172413793 72298
19 1187 3 23 4 69 bidet 1 62.4736842105263 79229
39 1184 5 8 0 33 bidet 1 30.3589743589744 24111
21 1183 2 17 5 58 bidet 1 56.3333333333333 60712
28 1183 6 8 0 45 bidet 1 42.25 21618
33 1177 4 7 0 38 bidet 1 35.6666666666667 21174
26 1176 10 3 4 47 bidet 1 45.2307692307692 5149
22 1173 7 22 1 58 bidet 1 53.3181818181818 73059
30 1162 7 8 2 40 bidet 1 38.7333333333333 24866
26 1158 2 22 5 47 bidet 1 44.5384615384615 75920
15 1157 5 13 1 83 bidet 1 77.1333333333333 40313
18 1155 10 22 2 72 bidet 1 64.1666666666667 73032
31 1153 6 10 5 40 bidet 1 37.1935483870968 31402
28 1151 8 9 0 45 bidet 1 41.1071428571429 26341
16 1150 7 9 3 78 bidet 1 71.875 28772
26 1144 6 20 0 56 bidet 1 44 65974
17 1143 10 12 5 72 bidet 1 67.2352941176471 38169
27 1136 6 14 2 45 bidet 1 42.0740740740741 43868
27 1135 6 12 6 58 bidet 1 42.037037037037 36646
18 1132 10 8 4 67 bidet 1 62.8888888888889 22945
51 1129 5 8 4 24 bidet 1 22.1372549019608 22616
13 1126 7 16 2 94 bidet 1 86.6153846153846 50467
25 1125 7 18 5 47 bidet 1 45 59455
25 1121 9 8 2 47 bidet 1 44.84 23739
28 1118 7 8 5 45 bidet 1 39.9285714285714 24283
15 1116 10 10 3 78 bidet 1 74.4 32243
36 1108 7 9 3 33 bidet 1 30.7777777777778 25726
21 1104 10 19 4 56 bidet 1 52.5714285714286 62500
23 1101 7 20 6 51 bidet 1 47.8695652173913 67443
23 1096 7 18 5 58 bidet 1 47.6521739130435 59265
32 1093 5 13 1 60 bidet 1 34.15625 40080
25 1092 8 19 1 49 bidet 1 43.68 64099
40 1089 5 21 0 29 bidet 1 27.225 69027
16 1083 6 19 1 74 bidet 1 67.6875 64619
28 1082 9 4 6 40 bidet 1 38.6428571428571 10086
22 1082 9 10 5 58 bidet 1 49.1818181818182 32082
38 1082 10 7 1 31 bidet 1 28.4736842105263 21320
27 1081 6 8 3 42 bidet 1 40.037037037037 21793
41 1078 4 4 6 27 bidet 1 26.2926829268293 9128
25 1075 9 23 4 45 bidet 1 43 76072
21 1070 10 8 3 54 bidet 1 50.952380952381 22273
29 1066 4 18 4 38 bidet 1 36.7586206896552 59450
21 1066 8 16 4 54 bidet 1 50.7619047619048 50598
27 1064 5 16 3 45 bidet 1 39.4074074074074 52542
22 1064 9 12 6 51 bidet 1 48.3636363636364 37273
16 1061 10 22 5 69 bidet 1 66.3125 72278
20 1058 8 18 4 54 bidet 1 52.9 59936
29 1055 3 5 3 38 bidet 1 36.3793103448276 15779
40 1053 3 8 4 27 bidet 1 26.325 26629
26 1051 6 8 0 42 bidet 1 40.4230769230769 23028
28 1046 9 7 1 38 bidet 1 37.3571428571429 19449
29 1043 9 17 2 38 bidet 1 35.9655172413793 55932
14 1043 9 11 6 81 bidet 1 74.5 33660
21 1033 9 10 1 51 bidet 1 49.1904761904762 29271
21 1032 6 14 2 51 bidet 1 49.1428571428571 44676
41 1028 6 10 1 27 bidet 1 25.0731707317073 31370
23 1024 7 9 2 47 bidet 1 44.5217391304348 28277
42 1023 6 20 6 31 bidet 1 24.3571428571429 67267
32 1013 8 18 5 33 bidet 1 31.65625 58141
39 1010 4 21 1 29 bidet 1 25.8974358974359 70564
34 1010 6 7 1 31 bidet 1 29.7058823529412 20886
12 1008 6 9 2 92 bidet 1 84 26680
30 1002 3 12 5 36 bidet 1 33.4 42879
13 995 6 11 4 78 bidet 1 76.5384615384615 34681
19 987 10 14 6 56 bidet 1 51.9473684210526 45424
30 985 9 7 0 36 bidet 1 32.8333333333333 19677
29 985 9 8 1 36 bidet 1 33.9655172413793 23523
21 984 10 11 5 49 bidet 1 46.8571428571429 35903
40 982 3 16 5 29 bidet 1 24.55 55167
35 982 4 10 5 29 bidet 1 28.0571428571429 32394
31 979 8 20 0 33 bidet 1 31.5806451612903 67814
34 972 7 0 3 31 bidet 1 28.5882352941176 81049
26 970 7 8 4 38 bidet 1 37.3076923076923 25068
28 963 9 7 0 36 bidet 1 34.3928571428571 19846
15 957 6 17 0 67 bidet 1 63.8 56787
27 949 4 13 1 36 bidet 1 35.1481481481481 43109
33 945 7 8 3 31 bidet 1 28.6363636363636 22650
33 943 6 23 0 29 bidet 1 28.5757575757576 77947
32 942 4 11 1 31 bidet 1 29.4375 35150
17 939 6 20 4 58 bidet 1 55.2352941176471 66049
17 931 10 22 0 60 bidet 1 54.7647058823529 77354
16 926 5 8 2 60 bidet 1 57.875 21882
25 921 10 1 4 38 bidet 1 36.84 83339
23 910 7 11 3 49 bidet 1 39.5652173913043 34411
32 908 6 17 0 31 bidet 1 28.375 55770
10 908 6 12 5 121 bidet 1 90.8 36955
17 908 6 7 2 56 bidet 1 53.4117647058824 18365
24 897 5 0 5 40 bidet 1 37.375 80095
19 891 5 7 1 47 bidet 1 46.8947368421053 21366
29 887 6 3 1 31 bidet 1 30.5862068965517 4643
24 887 6 19 1 40 bidet 1 36.9583333333333 61382
24 886 9 11 5 38 bidet 1 36.9166666666667 33189
13 869 9 12 2 72 bidet 1 66.8461538461538 37211
28 867 4 12 0 33 bidet 1 30.9642857142857 36986
36 863 4 2 5 27 bidet 1 23.9722222222222 2558
26 856 8 10 5 36 bidet 1 32.9230769230769 31433
35 855 7 2 0 27 bidet 1 24.4285714285714 711
21 851 5 8 1 51 bidet 1 40.5238095238095 21834
25 843 7 9 0 36 bidet 1 33.72 26844
11 841 8 10 5 81 bidet 1 76.4545454545455 29669
14 835 8 12 0 63 bidet 1 59.6428571428571 36293
19 834 9 16 5 47 bidet 1 43.8947368421053 51315
18 831 2 20 5 49 bidet 1 46.1666666666667 69706
17 828 3 11 3 54 bidet 1 48.7058823529412 38280
11 819 6 10 5 81 bidet 1 74.4545454545455 29178
17 801 5 18 2 49 bidet 1 47.1176470588235 59168
27 801 10 22 6 31 bidet 1 29.6666666666667 76643
12 798 9 16 6 69 bidet 1 66.5 53792
20 793 7 10 0 45 bidet 1 39.65 30045
11 792 7 10 6 81 bidet 1 72 30345
22 790 4 10 6 38 bidet 1 35.9090909090909 30820
28 785 5 7 4 29 bidet 1 28.0357142857143 21504
13 777 6 10 6 63 bidet 1 59.7692307692308 31255
21 776 7 7 3 40 bidet 1 36.9523809523809 19588
28 762 6 8 5 29 bidet 1 27.2142857142857 23732
65 755 7 0 0 13 bidet 1 11.6153846153846 82286
30 748 8 11 4 29 bidet 1 24.9333333333333 33523
38 744 5 0 1 22 bidet 1 19.5789473684211 80564
18 735 4 19 4 56 bidet 1 40.8333333333333 63365
18 733 7 18 6 51 bidet 1 40.7222222222222 57635
32 731 7 0 1 29 bidet 1 22.84375 79923
16 722 9 20 4 49 bidet 1 45.125 65362
29 721 3 16 5 27 bidet 1 24.8620689655172 55234
25 720 6 7 0 31 bidet 1 28.8 21598
28 718 5 11 5 27 bidet 1 25.6428571428571 33685
20 715 6 7 3 38 bidet 1 35.75 21186
31 706 6 23 5 24 bidet 1 22.7741935483871 76903
23 703 7 19 6 31 bidet 1 30.5652173913043 63662
16 702 6 14 5 45 bidet 1 43.875 44597
23 697 9 19 0 33 bidet 1 30.304347826087 63700
10 693 5 10 2 74 bidet 1 69.3 31550
32 690 4 1 1 24 bidet 1 21.5625 84858
11 688 9 21 0 69 bidet 1 62.5454545454546 71722
21 685 8 19 6 33 bidet 1 32.6190476190476 61655
16 684 7 18 1 45 bidet 1 42.75 59184
12 676 9 8 5 60 bidet 1 56.3333333333333 22673
19 674 6 9 6 40 bidet 1 35.4736842105263 28439
12 674 10 12 4 58 bidet 1 56.1666666666667 38889
19 672 9 12 6 42 bidet 1 35.3684210526316 39227
17 668 9 19 6 42 bidet 1 39.2941176470588 61527
16 665 5 15 0 49 bidet 1 41.5625 47018
11 664 3 23 4 67 bidet 1 60.3636363636364 79869
31 662 8 18 6 22 bidet 1 21.3548387096774 59837
24 658 10 0 0 29 bidet 1 27.4166666666667 83389
10 656 5 10 1 72 bidet 1 65.6 30159
10 648 7 18 6 72 bidet 1 64.8 58767
14 647 6 15 0 47 bidet 1 46.2142857142857 50189
13 641 9 21 0 69 bidet 1 49.3076923076923 70861
14 640 10 10 4 47 bidet 1 45.7142857142857 30740
17 629 6 17 4 40 bidet 1 37 54697
22 626 7 22 0 31 bidet 1 28.4545454545455 73890
11 603 7 15 6 60 bidet 1 54.8181818181818 46854
21 600 3 22 4 29 bidet 1 28.5714285714286 78999
